DNI,Apellidos,Nombre,Sexo,Salario,CP,Provincia
33136745R,Martín Beltrán,Fermín,H,2193.77€,29,Málaga
46157446B,Gil Martín,Ana,M,712.17€,22,Huesca
23324197N,Martínez Tormo,Nabucodonosor,H,2181.85€,46,Valencia
63601422M,García Gargallo,Mirella,M,617.1€,13,Ciudad Real
82315583D,Sánchez del Amo,Estíbaliz,M,3432.49€,43,Tarragona
68224545J,Fernández Solsona,Gina,M,2575.12€,18,Granada
63674349E,Jiménez Rodríguez,Isidro,H,2245.66€,28,Madrid
57033542M,Legaz Montes,Felipe,H,3190.39€,48,Vizcaya
52524224K,Lorente Martínez,Jenny,M,1496.53€,28,Madrid
99436496K,Montoya Palos,Daniel,H,3364.18€,3,Alicante
52415889Q,Gil García,Yedra,M,1995.93€,3,Alicante
26255563M,García Millán,María Victoria,M,3266.46€,38,Santa Cruz de Tenerife
52191548V,Arias Ruano,Raquel Belén,M,1068.89€,41,Sevilla
99647232P,Rabadán Pérez,Julio José,H,2998.19€,33,Asturias
85223913N,Riera Arjona,Quintín,H,2210.59€,29,Málaga
77113975N,Martín Gómez,Andrés,H,1493.89€,28,Madrid
23675317Z,Galván Martínez,Esmeralda,M,1259.62€,21,Huelva
30733086A,Cruz Ballesteros,Carlos Isidro,H,601.72€,1,Álava
29245347L,Pons Navarro,Ceferino,H,1132.07€,50,Zaragoza
60132230H,Millán Niño,Marcos,H,3471.21€,28,Madrid
87864934N,Ivanova Hidalgo,Federico,H,1388.36€,28,Madrid
59938471B,Díaz González,Lucinda,M,1893.57€,19,Guadalajara
22251723M,Domínguez Domínguez,Octavio,H,1122.58€,15,La Coruña
51938167G,Rico Nieto,Patricia,M,1729.41€,17,Gerona
16154382X,Núñez Fernández,Noelia,M,2754.87€,14,Córdoba
43715981L,Beltrán Gallego,Andrés,H,1571.74€,28,Madrid
15157943T,Mouzo Cruz,Montserrat,M,1417.24€,6,Badajoz
20986821B,Martínez Martín,Carlos,H,1512.49€,33,Asturias
38461444Q,Díaz Manzanares,Catalina,M,2915.83€,46,Valencia
54277067B,Toribio González,Agustín,H,887.95€,11,Cádiz
46124118X,Santiago Cobos,Carmen,M,2656.95€,26,La Rioja
3320180S,Camacho González,Mirena,M,2888.63€,48,Vizcaya
38645203M,González González,Miguel Angel,H,2883.76€,28,Madrid
27964042K,Soto Santos,Celia,M,2540.91€,3,Alicante
6821013H,Camacho Díaz,Juan Manuel,H,2796.06€,11,Cádiz
73187494E,Giménez Luna,Roberto,H,3051.11€,30,Murcia
15724481W,Romero Ayala,Benito,H,1342.59€,24,León
40823610J,Mate Amat,Jaime,H,1485.82€,30,Murcia
68177744V,Bujan Sánchez,Susana,M,2174.07€,41,Sevilla
11806773E,Bautista Herencia,Esther,M,1026.98€,29,Málaga
725708N,Hermoso García,Julio José,H,1434.3€,7,Baleares
52406769G,Juan Maseda,José Luis,H,3256.01€,33,Asturias
74043802V,Patiño Ortuño,Alba,M,2016.45€,39,Cantabria
55380147B,Nieto Hernández,Eugenio,H,2400.74€,3,Alicante
14789534M,Alferez Molero,Rocío,M,912.36€,8,Barcelona
3839339H,Etxebarria López,María del Valle,M,2923.5€,41,Sevilla
86685635S,Utrera Flores,Manuel,H,1386.12€,50,Zaragoza
40682811C,Alcivar de Andrés,Sandra,M,2081.64€,31,Navarra
34341189G,Sirvent Cascon,Gema María,M,3480.06€,46,Valencia
10601986K,Tornero Andrés,Diego,H,1886.29€,11,Cádiz
77901396M,Rodríguez Zaragoza,Mirtha,M,645.72€,38,Santa Cruz de Tenerife
63127238N,Asensio López,Sandra,M,3594.84€,50,Zaragoza
93680462J,Martín Serrano,Julián,H,1935.7€,46,Valencia
54228122X,Vargas López,Melquiades,H,1263.33€,46,Valencia
3775685M,Paz Carralero,Lorena,M,1809.51€,8,Barcelona
18161496Y,Temprano Marrero,Ascensión,M,1860.43€,50,Zaragoza
4272888V,Calderón Rodríguez,Jacobo,H,2331.28€,27,Lugo
50272564S,Holguín Fernández,Adela,M,2801.79€,36,Pontevedra
79709439H,Piñeiro Lozano,Gregorio José,H,2764.95€,23,Jaén
12192385Q,Villar Guerrero,Gina,M,1938.98€,4,Almería
3324573S,Sendra Mayor,Rafael,H,2717.94€,15,La Coruña
52423403D,Domínguez Caballero,Ana,M,1857.0€,47,Valladolid
85348366N,Bonilla Oliva,Esperanza,M,1225.46€,3,Alicante
3931289Z,Ruiz Zaragoza,Fulgencio,H,1767.82€,37,Salamanca
61898799A,Pinedo Soto,Fernando,H,1198.39€,8,Barcelona
44524057J,Fernández Jerez,Esteban,H,3191.33€,8,Barcelona
76396605N,Díaz Martín,Begoña,M,1439.01€,8,Barcelona
71142565T,Bilbao Domínguez,Javier,H,2489.85€,41,Sevilla
84883395D,Serrano Blázquez,María de las Nieves,M,935.77€,28,Madrid
73541984J,Sanmartín Fernández,Irene,M,1056.78€,51,Ceuta
62040629S,Guinea Gómez,Lourdes,M,3121.59€,26,La Rioja
91231375N,Marcos García,Lorena,M,3584.75€,28,Madrid
21543605B,Vázquez de Celis,Enrique,H,3477.95€,50,Zaragoza
87165114J,Sebastián Gabarron,Amparo,M,3274.27€,8,Barcelona
22821610K,García Reyes,Juan Pablo,H,1810.23€,18,Granada
76939853T,Fernández Ollero,Florinda,M,2652.32€,8,Barcelona
76195980Q,Ferreira Ruiz,Celeste,M,1247.66€,28,Madrid
59726537E,Plaza Gómez,Pedro,H,1803.72€,3,Alicante
94282790V,Fernández González,Pablo,H,1836.92€,4,Almería
20627607B,Blanco Fontán,Ana María,M,2368.39€,33,Asturias
63714586D,Jiménez Alemán,Alexia,M,1321.35€,3,Alicante
19552556A,Pastor Díaz,Rubén,H,1609.81€,28,Madrid
26581703M,Ballesta Castejón,Salustiano,H,3413.06€,28,Madrid
72194495W,Gijón Roca,Helena,M,1836.07€,29,Málaga
94131635H,Valcárcel Aparicio,Carolina,M,673.27€,9,Burgos
29598715S,Espinar Vilalta,Isaías,H,2471.59€,36,Pontevedra
49495314G,Guerrero Sánchez,Tomás,H,2883.21€,41,Sevilla
6660719B,Rivera Fariñas,Victor Manuel,H,3288.4€,15,La Coruña
94520388W,Fernández Suárez,Violeta,M,1896.24€,8,Barcelona
21382980H,Olarte Ramos,Laura,M,757.86€,3,Alicante
25859479G,Ferrer Asensio,Celina,M,3057.65€,48,Vizcaya
27751265V,Calvo Rodríguez,Esteban,H,2863.08€,11,Cádiz
84648968K,Rodríguez Vera,Carlos,H,2026.98€,28,Madrid
39744724B,Peinado Ruiz,Mónica,M,1095.58€,39,Cantabria
64472379K,León Pérez,Eva,M,665.08€,41,Sevilla
3538767X,Hurtado Cobo,Cristobal,H,1966.05€,8,Barcelona
15569545V,Reyes Pérez,Marta,M,2500.93€,3,Alicante
22852777T,Moles Castilla,Alberto,H,1295.24€,28,Madrid
85854888M,Roa Hernández,Pascual,H,2379.72€,8,Barcelona
39280931J,Lozano Marín,Yedra,M,3567.49€,18,Granada
57358074F,Risquez Jiménez,José Fernando,H,1440.74€,7,Baleares
18155247J,Prieto Carceller,Abigail,M,864.54€,29,Málaga
90999074B,Solano Pérez,Felipe,H,1571.67€,17,Gerona
61045607L,Campa Ruiz,Lázaro,H,632.65€,30,Murcia
83645584N,Jiménez Huguet,Melisenda,M,3441.97€,3,Alicante
20608426N,Fernández Villalba,Pablo José,H,1941.24€,8,Barcelona
74349353J,Morales Barral,Noelia,M,1904.66€,8,Barcelona
11548739W,Ojeda Muñoz,Verónica,M,1779.15€,8,Barcelona
46382805Q,Muñoz López,Marina,M,1761.35€,36,Pontevedra
14541582Q,Navarro Melián,Roberto,H,3505.81€,33,Asturias
47749111F,Riveiro Márquez,Fausto,H,1162.51€,9,Burgos
46837334L,Martínez Fernández,Esteban,H,1173.61€,12,Castellón
64455652S,Pérez Martín,Noelia,M,1334.91€,32,Ourense
4908958E,Muñoz Muñoz,María José,M,3296.41€,6,Badajoz
1948803J,Fernández Muñoz,Loreto,M,3223.33€,10,Cáceres
69031754Z,Nogués Blasco,María del Consuelo,M,1632.35€,26,La Rioja
64319949N,Fernández Gómez,Adelaida,M,2357.34€,28,Madrid
37449892G,Bachiller Beltrán,José,H,1941.41€,15,La Coruña
26509939R,Prieto Serra,Felipe,H,1920.19€,29,Málaga
36298516P,Pérez Álvarez,Nicolás,H,874.62€,3,Alicante
9749466L,González Sánchez,Luisa,M,2238.65€,8,Barcelona
30422434N,García Garrido,Leire,M,1448.43€,8,Barcelona
37552560T,Fernández Martínez,Julián,H,2627.26€,48,Vizcaya
56556971V,Rodríguez Cuenca,Loreto,M,891.03€,30,Murcia
41092197Y,Pérez García,Rodolfo,H,620.66€,36,Pontevedra
73095404R,Matos Brunet,Susana,M,2344.63€,8,Barcelona
25782117Z,Alonso García,Jeremías,H,2792.51€,28,Madrid
96130131K,Marcos Tortosa,Adolfo,H,2436.31€,28,Madrid
12105529P,Acosta García,Calista,M,1783.17€,28,Madrid
88078356V,Castillo Díaz,Carlos Alberto,H,3449.04€,41,Sevilla
34594947A,Jaramillo Sanz,Manuel,H,2300.94€,8,Barcelona
18632044C,Jiménez Gómez,Sergio,H,2731.99€,29,Málaga
64491800F,Parra Torrents,Begoña,M,2198.23€,46,Valencia
5838468X,Rubio Bujalance,Gustavo Adolfo,H,1475.78€,41,Sevilla
9799838K,Nadal Hernaez,Julián,H,3496.82€,28,Madrid
12841068F,Martínez Castillo,Carlos Bruno,H,2573.81€,2,Albacete
16681446Y,Borrás Luna,Rosabel,M,3201.24€,17,Gerona
60397841W,Sosa Varo,Carmen,M,1415.94€,15,La Coruña
28606428V,Florido García,Belinda,M,2918.85€,30,Murcia
71140512V,Ramírez Miguel,Aida,M,3177.42€,46,Valencia
64211781J,Oliva López,Julio José,H,1738.57€,38,Santa Cruz de Tenerife
85224332V,Prieto Espín,Zulema,M,1926.14€,41,Sevilla
16019460Y,Alegre Sánchez,Benito,H,1309.14€,28,Madrid
42315050H,Coll Estévez,Andrés,H,2267.64€,8,Barcelona
94225224C,Vicente Sánchez,Mercedes,M,923.82€,2,Albacete
67723457A,López Azorín,Rosalina,M,1763.46€,28,Madrid
91641252Y,Saldaña Crespo,Carlos,H,2244.82€,28,Madrid
4073418A,García García,Consuelo,M,2118.19€,8,Barcelona
6161536C,Martín Cruz,Nicolás,H,1688.75€,3,Alicante
9508518L,González Aguilera,Fermín,H,1648.92€,13,Ciudad Real
59122940Z,Busquets Galán,Alfonso,H,810.69€,34,Palencia
81624901V,García Villanueva,Felisa,M,1482.29€,28,Madrid
4644440G,Rosell Cabello,Rodrigo,H,2149.69€,46,Valencia
37770604G,Gancedo Casanovas,Irene,M,2816.07€,18,Granada
54118401E,Pérez Martín,Balduino,H,1081.47€,8,Barcelona
78969162L,Medina Carrillo,Julio José,H,2619.37€,27,Lugo
88863779J,Martín Olivares,Julio,H,2426.59€,33,Asturias
20589654P,Zambrano Ruiz,Susana,M,2906.21€,46,Valencia
4583026T,Lafuente Vásquez,Melchor,H,814.63€,52,Melilla
89265977X,Diallo Ramírez,Andrés,H,1918.88€,17,Gerona
5430137K,Muñoz Polo,Luis Félix,H,3549.18€,45,Toledo
55922288L,Muñoz Calvo,Shakira,M,808.47€,29,Málaga
29622747N,Martín Folgado,Laura,M,667.31€,33,Asturias
9733498J,Gea Sacristán,Juan,H,2949.2€,43,Tarragona
58729623C,Quesada Sanz,Ignacio,H,2763.54€,33,Asturias
30271676L,García Ferreira,Rubén,H,2510.74€,28,Madrid
9837104G,Martín Romero,Eulalia María,M,1445.52€,36,Pontevedra
4980675W,Arce Jiménez,Alicia,M,3118.44€,31,Navarra
84232336B,Jiménez García,Cristina,M,3012.34€,4,Almería
78689194F,Rodríguez Becerra,Victor,H,3026.29€,3,Alicante
3213293D,Benítez Hernández,Juan Miguel,H,3369.26€,28,Madrid
40511514G,Morales Soler,Aida,M,1523.14€,46,Valencia
86008737F,Cervera Pérez,Mayte,M,2603.13€,24,León
22777224W,Arcas Rodríguez,Marcos,H,991.48€,15,La Coruña
56116547C,Benlloch Zorrilla,Estíbaliz,M,3094.15€,36,Pontevedra
45345871Z,Vera Campos,Osorio,H,1982.05€,7,Baleares
19884041N,Carrascal Vázquez,Andrés,H,1101.59€,26,La Rioja
17756890Q,Aguila Pla,Aida,M,3591.24€,3,Alicante
68785363E,Iglesias Matesanz,Sonia,M,2268.05€,28,Madrid
59283508L,Londoño López,Nereida,M,2704.28€,48,Vizcaya
68211410B,Sánchez Rosado,Aurora,M,3290.4€,9,Burgos
3434150C,Ros Contreras,Ceila,M,3061.84€,35,Las Palmas
18978472E,Escobar Serna,Silvia María,M,2720.61€,25,Lérida
76295188W,Jiménez Orive,Margarita,M,3524.34€,50,Zaragoza
1170594D,Baez Sarasa,Iván,H,1619.14€,28,Madrid
27042105Q,Gonzales Regueiro,Victoria,M,1144.65€,27,Lugo
26033637Y,Casado Lumbreras,Sara,M,2984.41€,46,Valencia
10856601A,Contreras Sánchez,Mayte,M,3151.51€,8,Barcelona
52799417L,Rodríguez Martínez,Raquel,M,1937.26€,45,Toledo
88457000N,Sánchez Fernández,Enrique,H,3519.51€,31,Navarra
50586753R,Bedia López,Juan Carlos,H,2727.89€,17,Gerona
88747936K,Pardo Aragón,Tatiana,M,3426.68€,29,Málaga
57641265E,Maldonado Martínez,Fermín,H,3449.11€,11,Cádiz
50179874S,Villar Villarreal,Bernardo,H,3433.31€,30,Murcia
72562868F,Fernández Ballesteros,José Pedro,H,1843.51€,2,Albacete
97923986Z,Sobrino López,Carolina,M,2156.92€,36,Pontevedra
95942566K,Alonso Pérez,Elena,M,759.07€,28,Madrid
55745327C,Esteban Baño,Angelines,M,1456.72€,36,Pontevedra
71789177J,de Dios González,Tadeo,H,3379.07€,29,Málaga
28516632J,Mora Martínez,Adolfo,H,2706.66€,8,Barcelona
81759974B,Gabaldón Manrique,Carlos,H,3584.79€,16,Cuenca
10863497E,López Pérez,Miriam,M,3551.4€,8,Barcelona
51693194G,Hernández Salas,Kasinda,M,1225.36€,14,Córdoba
83863677L,Bosque Sanmartín,Abigail,M,2163.79€,8,Barcelona
99137793L,Campoy Martínez,Diego,H,2207.47€,29,Málaga
1620733S,Fraile Asensio,Justo,H,2409.96€,25,Lérida
97037638V,Balaguer Ramos,Susana,M,1480.46€,16,Cuenca
56664942A,Contreras Prieto,Teocleta,M,1569.96€,16,Cuenca
46691968J,Barrio Llorente,Natalia,M,2000.97€,31,Navarra
53459135M,Lobera Serna,Julio,H,3342.7€,28,Madrid
41506911F,Riesco Aponte,Jesús,H,2698.91€,28,Madrid
35948631E,Rodríguez Barroso,Manuel,H,2406.59€,28,Madrid
90487664Y,Soto García,Celia,M,3434.82€,28,Madrid
73424511R,Cubero Freire,Sebastián,H,1827.95€,48,Vizcaya
40198184A,Vicente García,Azucena,M,803.44€,19,Guadalajara
41487961D,Silva López,Esther,M,1261.29€,28,Madrid
49023387Z,Romero Moreno,Lucinda,M,2781.61€,36,Pontevedra
66316958T,Colom García,Gloria,M,1216.58€,48,Vizcaya
95683553B,López Garau,Nerea,M,3287.35€,46,Valencia
72640127D,García Céspedes,Elisandro,H,1364.38€,28,Madrid
42435200Q,Gregori Guisado,Rubén,H,1375.12€,32,Ourense
72897745G,Sanjuan Paredes,Adalia,M,986.86€,3,Alicante
74297869A,Guzmán Rodríguez,Luis Miguel,H,1467.73€,18,Granada
8286654F,Fernández Cabello,Raquel,M,1480.64€,8,Barcelona
30710551P,García Sobrado,Sara,M,662.98€,11,Cádiz
45200682R,Navarro Tena,Sergio,H,3382.11€,46,Valencia
71670209R,Adrián Quesada,Borja,H,2962.44€,30,Murcia
3636270Q,Coronado González,Sara,M,3469.07€,28,Madrid
42751858X,Rodríguez Martínez,Josefa,M,2476.87€,7,Baleares
50265776N,Rojano Fernández,David,H,2231.58€,9,Burgos
43255232Y,Arias Miguel,Onofre,H,2258.61€,20,Guipúzcoa
98108393F,Sanz Seco,Daniel,H,2681.37€,28,Madrid
59555867N,Olano Ortega,Facundo,H,2902.38€,47,Valladolid
79257403R,Reig Pato,Zacarías,H,1253.79€,29,Málaga
6733888V,Terrón Sánchez,Ana,M,2215.36€,8,Barcelona
76347492G,Fernández Valls,María del Mar,M,2259.89€,30,Murcia
60575570X,Lorenzo Ramos,Itziar,M,1872.8€,46,Valencia
33948861X,Gonzalo Medina,Inés,M,3172.05€,8,Barcelona
48641292H,Merino Rufo,Tomás,H,2600.89€,38,Santa Cruz de Tenerife
11625404P,Pérez López,Juan Julián,H,2316.42€,3,Alicante
72507208F,Esparza Gonzalo,Cleopatra,M,2132.71€,48,Vizcaya
66949583X,Martín Pérez,Sinesio,H,2533.19€,3,Alicante
27442851X,Etxebarria Olmos,Ángeles,M,2301.85€,8,Barcelona
67470947X,García Pérez,Aida,M,2925.47€,4,Almería
74295708G,Lazo Orozco,Itziar,M,2521.7€,23,Jaén
65820954Z,Romero Pérez,Ramiro,H,1213.53€,46,Valencia
59517940N,González Velasco,Santiago,H,662.15€,4,Almería
39323040D,Maldonado Chávez,Tatiana,M,1849.11€,3,Alicante
11077677A,López Manero,Lourdes,M,2612.9€,41,Sevilla
94371071R,Fernández Martín,José Luis,H,3220.02€,46,Valencia
3123801X,Rodríguez Romero,Roberto,H,3509.32€,41,Sevilla
83335629M,Cruzado Soria,Amanda,M,924.98€,17,Gerona
53081834L,Bernabé Amor,Paloma,M,1607.58€,8,Barcelona
36938444F,Bertrán Moreno,Iraida,M,2549.64€,23,Jaén
18400592V,Bermúdez García,Mariángeles,M,2807.99€,18,Granada
4169762T,Herruzo Hernández,José María,H,3095.01€,8,Barcelona
3182579T,Torrent Fonseca,Mario,H,2034.5€,46,Valencia
33369039H,Ferrer Hernández,David,H,1556.93€,14,Córdoba
78841721K,Pérez Cabrera,Javier,H,3543.39€,33,Asturias
57690149P,Conde Torres,Álvaro,H,2129.72€,12,Castellón
8853135K,Blanco Martínez,Florencio,H,1231.17€,11,Cádiz
43660739T,Monferrer Barral,Paz,M,3497.17€,1,Álava
41392000G,García Díez,Marcos,H,3381.94€,5,Ávila
67940644R,Infante López,Amanda,M,3211.07€,41,Sevilla
70690529Y,Badía Barrio,Ángel,H,2794.47€,50,Zaragoza
41893681D,Jiménez Ramos,Edilia,M,2661.58€,8,Barcelona
48449344M,Bernabeu Velasco,María José,M,1881.78€,11,Cádiz
60604987X,Manzano Calabuig,Isidro,H,2676.6€,5,Ávila
60485410X,Vera San Juan,Daniel,H,2179.03€,48,Vizcaya
9084578S,López Ruiz,Romualdo,H,2801.56€,28,Madrid
35534061G,Lozano Brunet,Esperanza,M,2532.66€,38,Santa Cruz de Tenerife
77366361L,González Santillana,Piedad,M,1398.73€,43,Tarragona
66985535J,Solá Román,Milagros,M,1394.38€,8,Barcelona
73997597L,Latorre López,Isabel,M,2350.16€,36,Pontevedra
53253050T,Márquez Pérez,Noelia,M,1693.03€,29,Málaga
57161143W,Gómez Martín,Davinia,M,3474.77€,9,Burgos
77052473N,Mestre Sánchez,Juan,H,3305.45€,3,Alicante
39713928N,Ribera Valenciano,Cristina,M,2291.89€,2,Albacete
81424526H,Carrasco Leiva,Zulema,M,1561.12€,4,Almería
51279458S,Pérez Monje,Cecilia,M,1137.07€,12,Castellón
73836939Q,Padilla Molto,Rubén,H,1376.21€,29,Málaga
31906688F,Fernández Barragán,Javier,H,2406.12€,8,Barcelona
16842109Z,Fernández Ramírez,Fermín,H,1667.78€,37,Salamanca
79597015H,Jiménez Rojas,Brenda,M,3057.03€,45,Toledo
91898853F,Robles Rodríguez,Carlos,H,2812.11€,8,Barcelona
12287361W,Moreno Priego,Violeta,M,2014.3€,28,Madrid
54145492L,Torres Latorre,Pedro,H,3010.35€,39,Cantabria
34929829M,Castro Novas,Alfredo,H,1512.73€,22,Huesca
11874103P,Gómez López,Rafael,H,2954.79€,9,Burgos
17584472Y,García da Costa,Tomás,H,2298.07€,23,Jaén
51628108P,Hernández Pastor,Gustavo,H,860.17€,28,Madrid
1585438W,Serrano Rodas,Roberto Juan,H,3217.26€,23,Jaén
4340678A,Sánchez García,Ángela,M,1460.91€,12,Castellón
10684771Y,Cámara de Haro,Julio José,H,2722.85€,8,Barcelona
80550506K,Márquez Giménez,Cayetano,H,1470.48€,28,Madrid
72641250M,Zambrano Rey,Alfonso,H,1962.74€,36,Pontevedra
43962701H,Vecino Barrera,Melquiades,H,1257.21€,41,Sevilla
66211674X,Campos Estévez,Elisa,M,3100.74€,6,Badajoz
97641484K,Torrero Rodríguez,Pitágoras,H,1387.19€,38,Santa Cruz de Tenerife
28312690N,Mestre Guillén,Yedra,M,2625.33€,3,Alicante
10791599E,Camps Mendoza,Roberto Juan,H,2504.91€,46,Valencia
57835317T,Echevarría López,Julio,H,2356.59€,45,Toledo
55957215D,Sánchez Alonso,Gwendolín,M,2821.75€,24,León
74980852R,Santana Martínez,Alfredo,H,3496.82€,28,Madrid
75779494Z,Matos Muñoz,Pablo José,H,1829.15€,4,Almería
69002993A,Milla Adán,Rocío,M,3122.91€,8,Barcelona
79131992D,Sánchez Morcillo,Santiago,H,3583.48€,8,Barcelona
41031393Z,Carvajal Doménech,Estíbaliz,M,2360.91€,38,Santa Cruz de Tenerife
32110638Q,Borges Rodríguez,Ana Sonia,M,872.7€,4,Almería
12548456R,Plasencia Heredia,Norma,M,881.79€,9,Burgos
68292389F,Nieto Velasco,Estefania,M,2388.04€,36,Pontevedra
81613417X,González Moreira,Cloe,M,2215.57€,8,Barcelona
82882482G,Suárez Espinola,Ángeles,M,2818.5€,4,Almería
17782870Y,Martín Giménez,Álvaro,H,1496.22€,8,Barcelona
89520012X,Doménech Garces,Juan José,H,959.3€,15,La Coruña
59759173K,García Pacheco,Marta,M,3057.54€,50,Zaragoza
28968845T,Cañellas Rodríguez,Félix,H,2891.23€,38,Santa Cruz de Tenerife
26189951N,Villarrubia Llanos,Manuel,H,1628.33€,28,Madrid
2736226P,Lorenzo Canales,Gwendolín,M,3223.7€,18,Granada
46012357Y,Llorente Vivo,Belén,M,1690.82€,28,Madrid
18573272J,Pintor Sevilla,Paula,M,1996.25€,29,Málaga
28742196Q,Martínez Sánchez,Simón,H,2728.75€,18,Granada
40245562R,Prades Martínez,Pedro,H,1059.31€,46,Valencia
12794923T,Rodríguez Garrido,Tomás,H,1098.43€,28,Madrid
22031619B,López Coloma,Bernardo,H,1582.31€,27,Lugo
79124723P,Alonso García,Noelia,M,998.94€,8,Barcelona
24912791L,Estrada de León,Gumersindo,H,3506.17€,15,La Coruña
93199245W,Orts Hernández,Miguel,H,2524.68€,8,Barcelona
81848562A,Rubio Valcárcel,Ángel,H,3524.91€,28,Madrid
27797781G,Serra Pastor,Pablo José,H,977.31€,41,Sevilla
34061888S,Suárez Martínez,Manuel,H,3069.84€,50,Zaragoza
26724593L,Blanco Camps,Iván,H,1055.34€,35,Las Palmas
58753571W,Pedrosa García,Roberto Juan,H,1318.0€,15,La Coruña
41848422Z,Moreno Campos,Enrique,H,1180.5€,46,Valencia
65673471F,Rubio Berna,Vicente,H,2757.32€,8,Barcelona
26683822G,Echeverría Mancebo,Diego,H,3153.61€,19,Guadalajara
49737636K,Vargas García,Jorge,H,3134.55€,21,Huelva
4976504V,Jiménez Ballesteros,Victoria,M,1542.31€,48,Vizcaya
48320500F,González Pardo,Silvia Belén,M,1772.27€,28,Madrid
75588340J,Polo Rodríguez,Sara,M,2312.01€,28,Madrid
93582839W,Gutiérrez Sancho,Bernardo,H,3369.88€,40,Segovia
30729595P,Rentero Andrade,Nabucodonosor,H,3235.98€,3,Alicante
55520335Z,Rusu Prieto,Rubén,H,2365.84€,28,Madrid
85776270R,Sánchez Sánchez,Julián,H,1714.02€,21,Huelva
3322671E,Hervas Maceiras,Ángel,H,3116.73€,18,Granada
70245963F,Carrillo Fernández,Miguel Angel,H,2839.13€,46,Valencia
38794566Y,Romero Moreno,Carlos,H,1190.24€,6,Badajoz
52880943X,Higuera Moreno,Daniel,H,2563.43€,28,Madrid
73371662Y,Barquero González,Victor Manuel,H,2637.55€,28,Madrid
53284327C,Gonzalo Bello,Alba,M,1706.22€,3,Alicante
81716243A,García Martín,Isolda,M,633.59€,33,Asturias
79443721L,Rodríguez Iglesias,Claudia,M,1535.67€,8,Barcelona
1738839Q,Valera Jiménez,Isabel,M,1296.28€,30,Murcia
68213573N,Martínez Valencia,Saturio,H,849.91€,46,Valencia
99587477F,Espinosa Fernández,Paloma,M,1028.23€,11,Cádiz
55057331T,Cuadrado Fernández,Susana,M,1632.48€,8,Barcelona
44790162P,Zamora Grau,Alba,M,1591.38€,46,Valencia
62905228K,Medrano Matilla,María de Montserrat,M,2600.2€,30,Murcia
66128614A,Encinas Álvarez,Francisco,H,1318.41€,28,Madrid
47882791B,Blanco Romero,Vanesa,M,2579.36€,41,Sevilla
83450966C,Álvarez Rodríguez,Adolfo,H,891.27€,18,Granada
34115911B,Vázquez González,Marcos,H,809.65€,16,Cuenca
39673514D,Ribera García,Calista,M,749.33€,29,Málaga
90215123S,Rosa Sánchez,Margarita,M,1795.35€,28,Madrid
25540158S,Morán Rodríguez,Alejandro,H,3214.72€,28,Madrid
67966632E,Muro Samper,Celia,M,3402.91€,28,Madrid
86853701C,Vega Medina,María Paula,M,1396.16€,28,Madrid
27980080M,Cabrera Coronado,María Emilia,M,885.32€,28,Madrid
99103722B,Ochoa Arias,Feliciano,H,1921.32€,43,Tarragona
98520239S,Fernández Sánchez,Juan,H,630.52€,8,Barcelona
61617463A,Nebot Escalona,Lorena,M,889.67€,50,Zaragoza
50626047B,Muñoz Torres,Ángel,H,1556.98€,29,Málaga
6165909T,Gil Díaz,Emilio,H,2480.7€,46,Valencia
65227907E,Alonso Villegas,Angélica,M,3479.62€,10,Cáceres
91668264Q,Losada Pérez,Mario,H,2514.59€,28,Madrid
23832479V,Puig Arroyo,Alberto,H,848.68€,39,Cantabria
5242141G,Cano Sánchez,Gloria,M,1574.19€,8,Barcelona
73160066X,Barea Castaño,Mónica,M,1318.3€,44,Teruel
53020066Y,Jiménez Suárez,Juan José,H,2957.35€,29,Málaga
12788091E,Calderón Pons,Geraldin,M,1568.1€,40,Segovia
74258647L,Ortiz León,María Irene,M,2648.83€,8,Barcelona
92456718F,Palomo Gómez,Esther,M,3005.48€,28,Madrid
76355514E,García da Silva,Plinio,H,1361.63€,38,Santa Cruz de Tenerife
8499162H,Morón Barragán,Henar,M,888.43€,28,Madrid
73199387R,Fernández Farias,Pedro José,H,1691.1€,30,Murcia
75326592M,Feito Martínez,Juan Antonio,H,1384.88€,45,Toledo
26236161S,Miguel Boluda,Casandra,M,1013.35€,15,La Coruña
53670314K,Mesa Cornejo,Estrella,M,3125.26€,28,Madrid
77851807G,López Bartolomé,Blanca,M,2416.47€,3,Alicante
20194150N,Barreno Martín,César,H,3299.32€,28,Madrid
25952185C,Jacinto Gracia,Erasmo,H,1920.92€,28,Madrid
8157143D,García Martínez,Alfredo,H,826.28€,35,Las Palmas
92448638T,Lafuente Alarcón,María del Mar,M,1280.73€,3,Alicante
73237962M,Linares Mestre,Cristobal,H,2010.63€,48,Vizcaya
66912422V,López Martínez,Óscar,H,782.27€,3,Alicante
96822128V,Saiz Zapata,Melisenda,M,1445.13€,41,Sevilla
69803769B,Rivas Lacasa,Nuria,M,2710.44€,10,Cáceres
27583543B,Cabañas González,Paloma,M,1190.68€,46,Valencia
41963646P,Simón López,Mar,M,3337.06€,28,Madrid
44832280J,Bello Rodríguez,Irene,M,2041.85€,38,Santa Cruz de Tenerife
72715961N,Quetglas Romero,Rubén,H,722.14€,46,Valencia
59808173P,Ramos Cañete,Ruth,M,2460.72€,3,Alicante
76891544Z,Ramos García,Gabriel,H,890.33€,50,Zaragoza
27018982P,Alonso González,Eugenio,H,654.6€,28,Madrid
